Inventory;Fine particulate matter formation (kg PM2.5 eq);Fossil resource scarcity (kg oil eq);Freshwater ecotoxicity (kg 1,4-DCB);Freshwater eutrophication (kg P eq);Global warming (kg CO2 eq);Human carcinogenic toxicity (kg 1,4-DCB);Human non-carcinogenic toxicity (kg 1,4-DCB);Ionizing radiation (kBq Co-60 eq);Land use (m2a crop eq);Marine ecotoxicity (kg 1,4-DCB);Marine eutrophication (kg N eq);Mineral resource scarcity (kg Cu eq);Ozone formation, Human health (kg NOx eq);Ozone formation, Terrestrial ecosystems (kg NOx eq);Stratospheric ozone depletion (kg CFC11 eq);Terrestrial acidification (kg SO2 eq);Terrestrial ecotoxicity (kg 1,4-DCB);Water consumption (m3);Background data (Ecoinvent 3.8 database)
Iron (II) chloride ;0,000624383;0,06318698;0,035043976;0,00013505;0,24661213;0,033879216;0,61726043;0,027249203;0,007334186;0,045680944;9,42536E-06;0,002729473;0,000804632;0,000814762;1,08162E-07;0,001224039;3,01253989;0,002004492;market for iron(II) chloride | iron(II) chloride | APOS, S
Iron (III) chloride ;0,00209176;0,209763582;0,127460218;0,000443136;0,844709648;0,12215822;2,168107348;0,072274366;0,02731572;0,165145228;4,39656E-05;0,009571811;0,002447347;0,002483318;7,52971E-07;0,00399775;9,969426247;0,017737444;market for iron (III) chloride, without water, in 40% solution state | iron (III) chloride, without water, in 40% solution state | APOS, S
Sodium hydroxide ;0,002865116;0,324879019;0,06944453;0,000615893;1,296438423;0,087259927;1,586165049;0,145455869;0,021634802;0,091697327;6,99236E-05;0,004383805;0,003398769;0,003433171;1,40963E-06;0,004996949;5,564300901;0,03484578;market for sodium hydroxide, without water, in 50% solution state | sodium hydroxide, without water, in 50% solution state | APOS, S
Tetramethylammonium hydroxide ;0,008111256;1,796176591;0,08316255;0,001041281;4,645085606;0,141458029;2,580795114;0,169547318;0,019975467;0,11907583;0,000967112;0,008255969;0,013638578;0,013958997;8,68719E-06;0,019342476;8,516102669;0,03671126;Own TMAH approximation
Polymethyl methacrylate;0,010860109;2,896816165;0,043606382;0,000341849;9,08461587;0,187151621;0,98258101;0,003181771;0,003860675;0,059526636;0,000521644;0,001145266;0,018002566;0,019701242;7,60636E-08;0,034802807;1,867697693;0,033531506;market for polymethyl methacrylate, sheet | polymethyl methacrylate, sheet | APOS, S
Ethanol ;0,002606945;0,130582653;0,036155508;0,00021054;0,68521993;0,02960531;1,30279897;0,018095601;1,062832496;0,032094724;0,00139055;0,003162202;0,003412127;0,003540773;6,40621E-06;0,008055319;2,917243602;0,106601681;market for ethanol, without water, in 99.7% solution state, from fermentation | ethanol, without water, in 99.7% solution state, from fermentation | APOS, S
Electricity consumption;0,000283024;0,037290397;0,031605052;4,21309E-05;0,205434749;0,009849571;0,177757087;0,000902227;0,000371519;0,038662022;2,67252E-06;0,000515832;0,000304483;0,000308754;9,23787E-08;0,000857641;0,805532686;0,003993685;market for electricity, low voltage | electricity, low voltage | APOS, S
Electricity consumption (Medium voltage);0,000237;0,033722151;0,006018515;3,16775E-05;0,186651561;0,005856977;0,077909772;0,000530092;0,000252275;0,007591339;2,19218E-06;0,000197357;0,000267459;0,000271089;8,28945E-08;0,000721536;0,218883542;0,003624809;market for electricity, medium voltage | electricity, medium voltage | APOS, S
Deoinized water;8,26247E-07;8,08588E-05;4,51455E-05;1,36239E-07;0,000321267;3,93099E-05;0,000891958;2,19865E-05;4,57296E-06;5,91742E-05;1,40916E-08;3,79699E-06;7,47085E-07;7,58569E-07;3,01264E-10;1,96771E-06;0,004554055;0,000698409;market for water, deionised | water, deionised | APOS, S
Rivets;0,093133122;1,910569309;25,42184482;0,030902159;6,858573142;3,188099312;394,9100602;1,367325375;-0,07858587;32,61126701;0,001071506;1,199755719;0,052091394;0,053018163;8,58458E-06;0,287468533;2270,679219;0,213423041;market for brass | brass | APOS, S
Natural gas;0,000522456;0,966763129;0,005442556;2,11319E-05;0,621812752;0,017069839;0,119264251;0,004502032;0,001838792;0,008085328;5,41856E-06;0,000670048;0,000900319;0,001010119;3,53895E-07;0,00158762;0,293935924;0,000492885;market for natural gas, low pressure | natural gas, low pressure | APOS, S
LPG;0,001453232;1,283714721;0,00538713;3,26649E-05;0,634990472;0,017404638;0,175715371;0,033764268;0,005461392;0,009658974;5,1943E-06;0,000922241;0,002440565;0,00261396;1,05426E-06;0,004277125;1,75359553;0,00906673;market for liquefied petroleum gas | liquefied petroleum gas | APOS, S
Coal;0,001095992;0,578071149;0,031082708;0,000976444;0,457320506;0,070428091;1,235660271;0,00750584;0,004049204;0,043011005;6,079E-05;0,000514725;0,002033561;0,002056776;1,23459E-07;0,003423712;0,441187769;0,000908737;market for hard coal | hard coal | APOS, S
Wind power;1,73588E-05;0,002132483;0,00372253;3,54127E-06;0,008195526;0,006078158;0,02019679;0,000397063;0,000532014;0,004605466;5,42265E-07;0,000248795;2,36172E-05;2,4705E-05;3,22792E-09;3,3676E-05;0,115788875;9,18362E-05;electricity production, wind, 1-3MW turbine, onshore | electricity, high voltage | APOS, S
Oil;0,002603289;0,360500894;0,002693349;1,24951E-05;1,248972046;0,009356467;0,098074306;0,009784533;0,001539279;0,006951892;3,48049E-05;0,000321989;0,004253575;0,004295228;8,86086E-07;0,00828984;4,618760546;0,002708385;electricity production, oil | electricity, high voltage | APOS, S
